Date,Met Station,Dental College,Townhall,EPA Gulberg,Mobile Barkat Market,Mobile Gulberg,DHA Phase 8,Dha Phase 6,Akbar Chok,Green Town,College Road,QA Industrial Estate,Townhall,Gajjumata,Dillu Kurd,Samad Parel,Bubtian Chok,Green Fort,Rafaqat Chok,Shahdarah Chok,Atarti Industrial Estate,Kamahan Ashyana,Kot Lakhpat,Mobile Qurtaba,Shimla Pahari,Wagha Town,Bedian Road,UOP,TNB
5/28/2019,41.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2019,46.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2019,31.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2019,58.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2019,46.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2019,39.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2019,55.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2019,55.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2019,55.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2019,130.353,289.144,,112.285,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2019,110.317,46.732,,89.755,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2019,74.958,240.926,,66.283,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2019,76.313,203.017,,57.051,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2019,73.631,193.357,,48.753,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2019,105.447,105.447,,71.175,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2019,30.764,65.463,,31.603,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2019,26.025,86.452,,48.349,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2019,40.837,167.64,,72.566,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2019,32.681,166.081,,78.118,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2019,81.566,182.977,,89.442,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2019,142.266,288.528,,119.764,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2019,187.498,382.84,,134.658,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2019,89.401,311.682,,138.421,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2019,83.755,284.312,,94.447,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2019,72.752,190.17,,68.368,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2019,46.789,135.442,,48.658,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2019,71.036,194.524,,69.342,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/2019,107.536,295.458,,112.388,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/2019,118.774,347.899,,130.023,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/2019,177.352,362.646,,173.781,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2019,116.566,287.654,,105.935,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2019,68.827,150.45,,51.517,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/2019,75.358,193.252,,51.907,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2019,95.781,236.62,,75.257,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2019,123.91,195.194,,110.027,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019,61.524,102.927,,50.633,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2019,85.943,91.353,,54.352,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2019,74.378,182.581,,54.101,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2019,87.78,176.515,,65.239,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2019,34.775,73.714,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2019,32.396,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2019,27.916,87.005,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2019,45.372,85.441,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2019,60.996,82.924,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2019,44.537,107.997,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2019,30.306,101.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2019,35.687,115.061,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/2019,48.635,118.045,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2019,43.886,107.957,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2019,35.319,176.284,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2019,50.936,174.386,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2019,40.509,192.335,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2019,35.208,235.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2019,,193.272,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019,40.021,223.837,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2019,51.024,223.012,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2019,20.519,38.014,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2019,25.612,89.836,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2019,32.254,199.785,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2019,39.04,143.805,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2019,48.091,213.613,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2019,41.97,170.767,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2019,33.06,156.227,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2019,33.01,156.012,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2019,98.015,162.015,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2019,71.494,226.517,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/2019,94.012,180.215,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2019,93.121,180.785,,,,,,,,,,,,,,,,,,,,,,,,,,,
